FID,created_at,created_by,system_cre,version,latitude,longitude,name,address_su,address_th,address__1,address_lo,address__2,address_ad,address_po,address_co,address_fu,time,building_n,room_numbe,open_after,student_ru,total_numb,takes_cash,takes_watc,takes_debi,takes_cred,drinks_ava,drinks_a_1,coffee_pri,coffee_p_1,coffee_p_2,tea_price_,chocolate_,can_of_pop,other_prod,other_pr_1,muffin_pri,chocolate1,atmosphere,photo_of_l,photo_of_1,photo_of_2
10,2016-09-26 14:49:36 UTC,nttorren@uwaterloo.ca,2016-09-26 14:54:06 UTC,2,43.4671465,-80.54258226,PAS Lounge,0,Ring Road,0,Waterloo, ,Ontario,N2L 3G1,Canada,Ring Road Waterloo Ontario N2L 3G1 Canada,10:49,PAS,0,no,no,32.5,yes,yes,no,no,"Coffee,Tea,Juice,Pop/Soda,Water", ,1.89,2.09,2.29,1.79,0.00,2.00,"Muffins,Cookies,Sandwiches/Wraps,Salads",Cinnamon Bun,1.59,1.09,7,dcadec35-b907-4d15-a725-1ef6602dfe26, ,https://web.fulcrumapp.com/photos/view?photos=dcadec35-b907-4d15-a725-1ef6602dfe26
11,2016-09-26 15:05:13 UTC,sjluckhu@uwaterloo.ca,2016-09-26 15:08:13 UTC,4,43.4692215,-80.54550526,St. Jerome's Cafeteria,115,Forfar St W,0, ,Haldimand-Norfolk,ON,N3W 1J2,CA,115 Forfar St W Haldimand-Norfolk ON N3W 1J2 CA,11:05,St. Jerome's University,0,yes,no,0,yes,yes,yes,yes, , ,1.50,1.80,2.00,0.00,0.00,0.00, , ,0.00,0.00,5, , , 
12,2016-09-26 13:49:33 UTC,lazettel@uwaterloo.ca,2016-09-26 19:24:26 UTC,1,43.46913035,-80.54018564,Tim Horton's,0,Ring Road,0,Waterloo, ,Ontario,N2L 3G1,Canada,Ring Road Waterloo Ontario N2L 3G1 Canada,9:49,South Campus Hall,0,yes,no,60,yes,yes,yes,yes,"Coffee,Tea,Juice,Pop/Soda,Milk,Water",Frozen Specialty Drinks,1.43,1.62,2.00,1.62,2.35,2.19,"Muffins,Cookies,Donuts,Sandwiches/Wraps,Chips/Snacks,Hot Food,Salads",Bagels,1.39,0.99,5,f2f6b891-d34f-45f7-8e40-53a2276649d2, ,https://web.fulcrumapp.com/photos/view?photos=f2f6b891-d34f-45f7-8e40-53a2276649d2
13,2016-09-26 14:08:30 UTC,lazettel@uwaterloo.ca,2016-09-26 19:24:27 UTC,1,43.4697795,-80.54083426,Graduate House,0,SCH Concourse,0,Waterloo, ,Ontario,N2L 3G1,Canada,SCH Concourse Waterloo Ontario N2L 3G1 Canada,10:08,Graduate House,0,yes,no,65,yes,no,yes,yes,"Coffee,Tea,Juice,Pop/Soda,Water", ,1.00,1.00,1.00,1.00,0.00,0.00,"Sandwiches/Wraps,Chips/Snacks,Hot Food,Salads", ,0.00,0.00,7,65d3638e-f2c5-4247-8e15-89d72611faef, ,https://web.fulcrumapp.com/photos/view?photos=65d3638e-f2c5-4247-8e15-89d72611faef
14,2016-09-26 14:21:57 UTC,lazettel@uwaterloo.ca,2016-09-26 19:24:27 UTC,1,43.4707095,-80.53924027,Waterloo Engineering Society C&D,0,Ring Road,0,Waterloo, ,Ontario,N2L 3G1,Canada,Ring Road Waterloo Ontario N2L 3G1 Canada,10:21,Carl A. Pollock Hall,0,no,yes,49,yes,no,yes,no,"Coffee,Tea,Juice,Pop/Soda,Milk,Water,Energy Drinks",iced tea,0.90,1.20,1.50,0.65,1.30,0.85,"Muffins,Cookies,Donuts,Sandwiches/Wraps,Chips/Snacks,Hot Food,Salads", ,1.10,1.00,7,3827dda3-cc11-42a7-8a02-147212148b52, ,https://web.fulcrumapp.com/photos/view?photos=3827dda3-cc11-42a7-8a02-147212148b52
15,2016-09-26 14:40:45 UTC,lazettel@uwaterloo.ca,2016-09-26 19:24:28 UTC,1,43.4715775,-80.54206126,CEIT cafe,0, ,0,Waterloo,Waterloo Regional Municipality,Ontario, ,Canada,Waterloo Waterloo Regional Municipality Ontario Canada,10:40,Centre for Environmental and Information Technology,0, , ,37.5,yes,yes,yes,yes,"Coffee,Tea,Juice,Pop/Soda,Milk,Water", ,1.89,2.09,2.29,1.79,2.59,1.79,"Muffins,Cookies,Sandwiches/Wraps,Chips/Snacks,Hot Food,Salads", ,1.59,1.09,9,bde79733-be2f-4939-91f3-22cdbd62578f, ,https://web.fulcrumapp.com/photos/view?photos=bde79733-be2f-4939-91f3-22cdbd62578f
16,2016-09-26 19:45:37 UTC,myding@uwaterloo.ca,2016-09-26 20:15:11 UTC,1,43.4716475,-80.54994626,mudie's,0, ,0,Kitchener, ,Ontario, ,Canada,Kitchener Ontario Canada,16:07,Village 1,0,yes,no,64,yes,yes,yes,yes,"Coffee,Tea,Juice,Pop/Soda,Milk,Water,Energy Drinks",Mineral Water,1.89,2.09,2.09,1.79,2.59,1.79,"Muffins,Cookies,Donuts,Sandwiches/Wraps,Chips/Snacks,Hot Food,Salads,Chocolate Bars,Candy", ,1.50,1.50,6,a79415f5-1ba3-45c6-8825-a2b41f718526, ,https://web.fulcrumapp.com/photos/view?photos=a79415f5-1ba3-45c6-8825-a2b41f718526
17,2016-09-26 20:01:39 UTC,tdwidaja@uwaterloo.ca,2016-09-26 20:25:31 UTC,3,43.4713395,-80.54519826,Tim Hortons,0,SLC Great Hall,0,Waterloo, ,Ontario,N2L 3G1,Canada,SLC Great Hall Waterloo Ontario N2L 3G1 Canada,16:01,SLC,0,yes,no,0,yes,yes,yes,yes,"Coffee,Tea,Juice,Pop/Soda,Milk,Water", ,1.43,1.62,1.81,1.62,1.59,2.19,"Muffins,Cookies,Donuts,Sandwiches/Wraps,Chips/Snacks,Hot Food,Salads", ,1.39,0.99,7, , , 
18,2016-09-30 17:58:44 UTC,chfreude@uwaterloo.ca,2016-09-30 18:06:45 UTC,1,43.4723605,-80.53583727,Second Cup,150,University Ave W,0,Waterloo,Waterloo,ON,N2L 3E4,CA,150 University Ave W Waterloo Waterloo ON N2L 3E4 CA,13:58,Second Cup,0,yes,no,0,yes, ,yes,yes,"Coffee,Tea,Juice,Pop/Soda,Milk,Water", ,1.80,2.15,2.45,1.90,0.00,2.95,"Muffins,Cookies,Sandwiches/Wraps,Chips/Snacks,Salads", ,2.30,2.25,8,"ae414a44-8353-4dcd-883b-d61d6ac23e3f,cb0812a0-41f5-4878-a399-a9f063527a2c",",",https://web.fulcrumapp.com/photos/view?photos=ae414a44-8353-4dcd-883b-d61d6ac23e3f%2Ccb0812a0-41f5-4878-a399-a9f063527a2c
19,2016-09-30 17:57:58 UTC,s288wu@uwaterloo.ca,2016-09-30 18:08:13 UTC,1,43.4722665,-80.53865327,Williams Fresh Cafe,170,University Avenue West,0,Waterloo, ,Ontario,N2L 3E9,Canada,170 University Avenue West Waterloo Ontario N2L 3E9 Canada,13:57,Williams Fresh Cafe,170,yes,no,120,yes,yes,yes,yes,"Coffee,Tea,Juice,Pop/Soda,Milk,Water",smoothie,1.60,1.80,2.00,1.80,1.50,0.00, , ,0.00,0.00,8,ee0d36df-95d7-4b61-9333-9fe69978285f, ,https://web.fulcrumapp.com/photos/view?photos=ee0d36df-95d7-4b61-9333-9fe69978285f
20,2016-09-30 18:16:34 UTC,slsinnig@uwaterloo.ca,2016-09-30 18:21:58 UTC,3,43.46960175,-80.54344023,Pastry Plus,200,University Ave W,0,Waterloo,Waterloo,ON,N2L,CA,200 University Ave W Waterloo Waterloo ON N2L CA,14:16,Needles Hall,0,no,no,37.5,yes,yes,no,no,"Coffee,Tea", ,1.89,2.09,2.29,1.79,1.79,1.79,"Muffins,Cookies,Sandwiches/Wraps,Chips/Snacks,Salads,Chocolate Bars,Candy", ,1.59,1.09,9,"3ab007d4-03d7-4c08-985a-6f7d907aad5a,611f4a0d-cb21-416e-8228-40f984635142,a369fff6-37b7-44ed-bd9e-f85bcda90615",",,",https://web.fulcrumapp.com/photos/view?photos=3ab007d4-03d7-4c08-985a-6f7d907aad5a%2C611f4a0d-cb21-416e-8228-40f984635142%2Ca369fff6-37b7-44ed-bd9e-f85bcda90615
21,2016-09-30 18:27:51 UTC,hk2bedi@uwaterloo.ca,2016-09-30 18:37:56 UTC,1,43.4668595,-80.54227826,Browsers Cafe,0,Ring Road,0,Waterloo, ,Ontario,N2L 3G1,Canada,Ring Road Waterloo Ontario N2L 3G1 Canada,14:27,Dana Porter Library,0,yes,no,67.5,yes,yes,yes,no,"Coffee,Tea,Juice,Pop/Soda,Milk,Water",Juice,1.89,2.09,2.29,1.79,1.79,2.59,"Muffins,Cookies,Sandwiches/Wraps,Salads,Candy","Danish , Cake slice,Scone",1.59,1.09,10,ebbe8357-7e2e-48c0-8621-97ccbe5d8052, ,https://web.fulcrumapp.com/photos/view?photos=ebbe8357-7e2e-48c0-8621-97ccbe5d8052
22,2016-09-30 18:08:53 UTC,hk2bedi@uwaterloo.ca,2016-09-30 18:37:57 UTC,1,43.4687945,-80.54266926,Modern Languages Cafeteria,0,Ring Road,0,Waterloo, ,Ontario,N2L 3G1,Canada,Ring Road Waterloo Ontario N2L 3G1 Canada,14:08,Modern languages,0,no,no,45,yes,yes,no,no,"Coffee,Tea", ,1.43,1.62,2.00,1.62,0.00,0.00,"Muffins,Cookies,Donuts", ,1.39,0.99,9,b5972864-d3af-4df8-bc2b-a95fedf310ad, ,https://web.fulcrumapp.com/photos/view?photos=b5972864-d3af-4df8-bc2b-a95fedf310ad
23,2016-09-30 18:16:49 UTC,hk2bedi@uwaterloo.ca,2016-09-30 18:37:57 UTC,1,43.4668595,-80.54227826,Pastry Plud,0,Ring Road,0,Waterloo, ,Ontario,N2L 3G1,Canada,Ring Road Waterloo Ontario N2L 3G1 Canada,14:16,Needles Hall,0,no,no,37.5,yes,yes,no,no,"Coffee,Tea,Pop/Soda,Milk", ,1.89,2.09,2.29,1.79,1.79,1.79,"Muffins,Cookies,Sandwiches/Wraps,Hot Food,Salads,Chocolate Bars,Candy",Rice Krispie Squares,1.59,1.09,9,7519b344-4328-4743-8c87-f3fbebfd7f7f, ,https://web.fulcrumapp.com/photos/view?photos=7519b344-4328-4743-8c87-f3fbebfd7f7f
24,2016-09-30 21:01:59 UTC,jqsun@uwaterloo.ca,2016-09-30 21:06:50 UTC,1,43.4663635,-80.54483926,Common Ground,140,Westmount Road North,0,Waterloo, ,å®‰å¤§ç•¥çœ,N2L 3G6,åŠ æ‹¿å¤§,140 Westmount Road North æ»‘é“å¢ å®‰å¤§ç•¥çœ N2L 3G6 åŠ æ‹¿å¤§,17:01,Conrad Grebel University College,2130,yes,no,61,yes,no,no,no,"Coffee,Tea,Juice,Pop/Soda,Milk,Water", ,1.00,1.00,1.00,1.00,1.00,0.00,"Chips/Snacks,Chocolate Bars", ,0.00,0.00,7, , , 
25,2016-09-26 14:10:12 UTC,y9ning@uwaterloo.ca,2016-09-30 21:11:21 UTC,2,43.4668015,-80.54480526,common ground,200,Westmount Rd N,0,Waterloo,æ²ƒç‰¹å¢,ON,N2L 5H8,CA,200 Westmount Rd N æ»‘é“å¢ æ²ƒç‰¹å¢ ON N2L 5H8 CA,10:10,Conrad grebel college,0,yes,no,61,yes,no,no,no,"Coffee,Tea,Juice,Pop/Soda", ,1.00,1.00,1.00,0.00,0.00,1.00,Chocolate Bars, ,1.00,1.00,7,c5624ff1-638e-41b2-a967-f92d5aec2905, ,https://web.fulcrumapp.com/photos/view?photos=c5624ff1-638e-41b2-a967-f92d5aec2905
26,2016-09-30 20:34:46 UTC,y9ning@uwaterloo.ca,2016-09-30 21:11:22 UTC,2,43.4675985,-80.54606426,Watson's eatery,190,Westmount Rd N,0,Waterloo,æ²ƒç‰¹å¢,ON,N2L 3G5,CA,190 Westmount Rd N æ»‘é“å¢ æ²ƒç‰¹å¢ ON N2L 3G5 CA,16:34,St. Paul's college,0,no,no,45,yes,yes,yes, ,"Coffee,Tea,Pop/Soda,Milk",Hot chocolate,1.25,1.25,1.25,1.25,1.25,1.25,"Salads,Muffins,Hot Food",Yogurt Burger,1.25,0.00,7,312e64b6-3e49-4259-aec8-b42002d5e3c9, ,https://web.fulcrumapp.com/photos/view?photos=312e64b6-3e49-4259-aec8-b42002d5e3c9
27,2016-09-30 18:27:36 UTC,slsinnig@uwaterloo.ca,2016-10-01 01:42:48 UTC,1,43.4697345,-80.54208226,Browsers cafe,200,University Ave W,0,Waterloo,Waterloo,ON,N2L,CA,200 University Ave W Waterloo Waterloo ON N2L CA,14:27,DP library,0,yes,no,67.5,yes,yes,yes,no,"Coffee,Tea,Juice,Pop/Soda,Milk,Water", ,1.89,2.09,2.29,1.79,1.79,2.59,"Muffins,Cookies,Sandwiches/Wraps,Chips/Snacks,Salads,Chocolate Bars,Candy", ,1.59,1.09,8,"9bf22d94-ea3b-43fe-ae57-be0e21baa070,3de136f4-724e-424e-86b3-4b2381d599a1",",",https://web.fulcrumapp.com/photos/view?photos=9bf22d94-ea3b-43fe-ae57-be0e21baa070%2C3de136f4-724e-424e-86b3-4b2381d599a1
28,2016-09-26 14:29:22 UTC,jgcarias@uwaterloo.ca,2016-10-01 18:33:24 UTC,1,43.4689095,-80.54271226,Tim Hortons,0,Ring Road,0,Waterloo, ,Ontario,N2L 3G1,Canada,Ring Road Waterloo Ontario N2L 3G1 Canada,10:29,Modern Languages,0,no,no,63,yes,yes,no,no,"Coffee,Tea,Water", ,1.43,1.62,1.81,1.62,0.00,0.00,"Muffins,Cookies,Donuts", ,1.39,0.99,7,546fd438-f988-437d-8335-e161a8845f48, ,https://web.fulcrumapp.com/photos/view?photos=546fd438-f988-437d-8335-e161a8845f48
29, ,Peter Johnson, ,0,43.47261009,-80.54229668,DC Tim Hortons Express,0, ,0, , , , , , , , ,0, , ,0, , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00, , ,0.00,0.00,0, , , 
30, ,Peter Johnson, ,0,43.47294087,-80.54267523,DC Tim Hortons,0, ,0, , , , , , , , ,0, , ,0, , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00, , ,0.00,0.00,0, , , 
31, ,Peter Johnson, ,0,43.47202278,-80.54540225,Brubakers SLC,0, ,0, , , , , , , , ,0, , ,0, , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00, , ,0.00,0.00,0, , , 
32, ,Peter Johnson, ,0,43.47350684,-80.54556224,Starbucks BMH,0, ,0, , , , , , , , ,0, , ,0, , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00, , ,0.00,0.00,0, , , 
33, ,Peter Johnson, ,0,43.47030098,-80.55425088,REVelation REV,0, ,0, , , , , , , , ,0, , ,0, , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00, , ,0.00,0.00,0, , , 
34, , , ,0,43.46837487,-80.54142631,Liquid Assets HH,0, ,0, , , , , , , , ,0, , ,0, , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00, , ,0.00,0.00,0, , , 
